establishment_id,name_of_restaurant,province,city/municipality,address,opening_hours,closing_hours,cuisine_type,dine-in,takeout,delivery,average_price_range,rating,contact_information,coordination,description,image,category,Category_Encoded
30,"Denisia's Grill and Seafood Restaurant
",La Union,Bauang,"Bauang, La Union",11:00:00 AM,10:00:00 PM,Filipino Food,Yes,Yes,No,400,4.1,726077718.0,"16.563609541452017, 120.32246073124378","The atmosphere at Denisia's Grill and Seafood Restaurant is pleasant, with live acoustic music adding to the ambiance. The food is reasonably priced and the portions are generous. While the bulalo was slightly sweet, the bagnet was incredibly crispy. The crispy dinuguan resembled fried meat dipped in dinuguan sauce. However, some customers preferred Gerry's Grill sisig over Denisia's version.","https://www.google.com/maps/place/Denisia's+Grill+and+Seafood+Restaurant/@16.5634035,120.3224659,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipNWMcIi6XAAoKcgBJN6rP9z30KRn7jqQJCutMsW!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipNWMcIi6XAAoKcgBJN6rP9z30KRn7jqQJCutMsW%3Dw86-h114-k-no!7i3024!8i4032!4m7!3m6!1s0x33918fed1179ee3d:0x8f09224e041ac6e8!8m2!3d16.5634039!4d120.32245!10e5!16s%2Fg%2F11dzt57_55?entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D#",Moderate,1
31,"Dampa sa San Juan
",La Union,San Juan,"183 2, 183 MacArthur Hwy, San Juan, 2514 La Union",10:00:00 AM,10:00:00 PM,Filipino Food,Yes,Yes,No,400,3.4,,"16.66073838009598, 120.3226367887887","Dampa sa San Juan is a restaurant that offers a delightful dining experience. The menu boasts a diverse array of dishes at affordable prices. Their seafood platter, which can easily satisfy a group of 4-5 people, is highly recommended. Patrons can expect freshly cooked meals, although there might be some waiting time during busy periods. The establishment provides ample parking space for vehicles and is ideal for groups and families. The staff are pleasant, accommodating, and friendly.","https://www.google.com/maps/place/Dampa+sa+San+Juan/@16.6605534,120.3226046,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipO4UEPHANgghqtS1miQDRSqQ4axf2z65XzfKKlM!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipO4UEPHANgghqtS1miQDRSqQ4axf2z65XzfKKlM%3Dw114-h86-k-no!7i4032!8i3024!4m7!3m6!1s0x33918d808466aa77:0x63a7e5ece4dc3ddd!8m2!3d16.6605534!4d120.3226046!10e5!16s%2Fg%2F11h7b4dlpw?entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D#",Moderate,1
32,"Hardin sa Paraiso Grill & Restaurant
",Pangasinan,Manaog,"Town of Manaoag Zone, 6 Brgy. Lelemaan, Manaoag, 2430 Pangasinan",09:00:00 AM,07:00:00 PM,Filipino Food,Yes,Yes,No,500,4.2,9178443921.0,"16.007262910883796, 120.52997320103076","Hardin sa Paraiso Grill & Restaurant is a popular dining spot in Binalonan, Pangasinan, Philippines. It is known for its delicious Asian cuisine and seafood dishes. The restaurant offers a relaxing atmosphere where visitors can enjoy good food and hang out with friends or family. Located in a convenient area, it provides an ideal setting for travelers to indulge in local flavors and unwind after exploring the beautiful province of Pangasinan.","https://www.google.com/maps/place/Hardin+sa+Paraiso+Grill+%26+Restaurant/@16.0070981,120.5299314,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipMURmTExbptkSZ6mBFhYe-0IV_6xqj_O6fKxdB8!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMURmTExbptkSZ6mBFhYe-0IV_6xqj_O6fKxdB8%3Dw115-h86-k-no!7i2048!8i1524!4m7!3m6!1s0x33913ff8c529c8d3:0x6e80be1a1166db56!8m2!3d16.0071495!4d120.5299732!10e5!16s%2Fg%2F1hc573gvy?entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D#",Moderate,1
33,"Kainan ni Mang Peping
",Pangasinan,Dagupan,"28JG+M7J, De Venecia Hi-way Extension, Dagupan, 2400 Pangasinan",07:30:00 AM,09:00:00 PM,Filipino Food,Yes,Yes,No,250,4.2,9272031762.0,"16.031967948087757, 120.32561765156375","During your upcoming trip to Pangasinan, showcase breathtaking sights and delectable local cuisine on your social media feed. If you desire a place that offers both, Kainan ni Mang Peping eagerly awaits your arrival. This eatery captivates with its charming nipa huts and towering sculptures resembling popular cartoon characters and Marvel heroes. The establishment shares similarities with the inviting ambiance of Mang Inasal and exudes a distinct Filipino vibe that appeals to native guests.","https://www.google.com/maps/place/Kainan+ni+Mang+Peping/@16.0317205,120.3256552,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipPz7eCZlm7LTGuzDREViw2kEjUDXErCg8slZ4Ad!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPz7eCZlm7LTGuzDREViw2kEjUDXErCg8slZ4Ad%3Dw143-h86-k-no!7i2560!8i1536!4m7!3m6!1s0x33915d4384f4c843:0xd3e05712d9f87824!8m2!3d16.0317205!4d120.3256552!10e5!16s%2Fg%2F11byykjjct?entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D#",Budget-Friendly,0
34,"Matutina's Gerry's Seafoods
",Pangasinan,Dagupan,"DE VENECIA ROAD,EXTENTION,BRGY.PANTAL, DAGUPAN CITY,PANGASINAN, 2400 Pangasinan",08:00:00 AM,09:30:00 PM,Seafood,Yes,Yes,No,500,4.3,9778260228.0,"15.96631298638319, 120.5767203366164","Matutina's Gerry's Seafoods is a renowned restaurant in Dagupan, known for serving the best bangus in the Philippines. The restaurant is named after a character from the popular 80s sitcom John en Marsha. One of their must-try dishes is the Boneless Bangus Pinaputok. Located near the beach, it offers a great dining experience with delicious food to enjoy.","https://www.google.com/maps/place/MATUTINA-GERRY's+Seafood+House/@16.0553271,120.3375503,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipPPmYL1xpYEUaUqWe4Kn6BkkJkCYVYQNlpz9aZ4!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPPmYL1xpYEUaUqWe4Kn6BkkJkCYVYQNlpz9aZ4%3Dw298-h298-k-no!7i960!8i960!4m13!1m2!2m1!1sMatutina's+Gerry's+Seafoods!3m9!1s0x339167e4a1f47517:0x29633a2cea5e3fbf!8m2!3d16.0553271!4d120.3375503!10e5!14m1!1BCgIgAQ!15sChtNYXR1dGluYSdzIEdlcnJ5J3MgU2VhZm9vZHNaHSIbbWF0dXRpbmEncyBnZXJyeSdzIHNlYWZvb2RzkgETZmlsaXBpbm9fcmVzdGF1cmFudOABAA!16s%2Fg%2F11cllqc_24?entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D#",Moderate,1
35,Maxine By The Sea Seafood Restaurant,Pangasinan,Alaminos,"52R4+92R, Alaminos - Lucap Rd, Alaminos, Pangasinan",07:00:00 AM,10:00:00 PM,Seafood,Yes,Yes,No,1200,4.1,,"16.191295864484452, 120.00509270590976","Maxine By The Sea Seafood Restaurant is a laid-back dining spot with stunning sea views, located in Lucap, Alaminos City. Open every day from 7:00 AM to 10:00 PM, it offers a complimentary breakfast for guests staying at the nearby lodging. Visitors can enjoy good food while overlooking the beach, making it an ideal place to unwind after exploring Hundred Islands National Park.","https://www.google.com/maps/place/Maxine+By+The+Sea+Seafood+Restaurant/@16.1909061,120.0050024,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipO-QQReC5wSpICa3o3Ab2WSYDd9itgcFHkaLG8x!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipO-QQReC5wSpICa3o3Ab2WSYDd9itgcFHkaLG8x%3Dw114-h86-k-no!7i4608!8i3456!4m10!3m9!1s0x3393dc9bffffffff:0x9cf250e4aded07f6!5m2!4m1!1i2!8m2!3d16.1909971!4d120.0050176!10e5!16s%2Fg%2F12qf5pqrp?entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D#",Luxury,2
36,Sungayan Grill,Pangasinan,Bolinao,"9V34+Q2W, Bolinao, Pangasinan",09:00:00 AM,08:00:00 PM,Bar & Grill,Yes,Yes,Yes,500,4.4,9778537586.0,"16.354727542343042, 119.85510256067036","Sungayan Grill is a must-visit restaurant in Bolinao, known for its boodle fights featuring fresh seafood, best enjoyed during a river cruise along Balingasay River. The experience is reminiscent of the river tours in Loboc and Loay in Bohol. Families and groups of friends visiting Bolinao should not miss this unique dining experience.",https://itin-dev.wanderlogstatic.com/freeImage/ryWBS3hWzvq3F0LAiYDFwxhLRyncY6tD,Moderate,1
37,Ciudad Elmina Fishing Village,Pangasinan,Dagupan,"28MV+PJQ, Road, Dagupan, Pangasinan",11:00:00 AM,11:00:00 PM,Seafood,Yes,Yes,No,500,4.2,9232485977.0,"16.03459654414988, 120.34414416062427","Ciudad Elmina Fishing Village is a renowned restaurant in Pangasinan, offering a unique dining experience amidst colorful fishing boats and picturesque coastal views. The menu boasts an array of expertly prepared seafood dishes, showcasing the region's culinary heritage. Set in a traditional floating restaurant with nipa huts surrounded by fish ponds, it provides a relaxing ambiance for both locals and visitors. Known for its Dagupan-style food and seafood buffet, Ciudad Elmina is popular for celebrations and family gatherings.","https://www.google.com/maps/place/Ciudad+Elmina+Fishing+Village/@16.0345125,120.3439767,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipNl0lgjT60nE5cXtpK08yWcTRX47feLozaAtX7B!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipNl0lgjT60nE5cXtpK08yWcTRX47feLozaAtX7B%3Dw114-h86-k-no!7i4032!8i3024!4m7!3m6!1s0x339142acd6258b31:0x55de949de6928ddb!8m2!3d16.0343491!4d120.3441227!10e5!16s%2Fg%2F11b6p7cvtj?entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D#",Moderate,1
38,Kuya Max - Dagupan,Pangasinan,Dagupan,"289J+P72, Gaudencio Siapno Rd, Dagupan, 2400 Pangasinan",11:00:00 AM,10:00:00 PM,Filipino Food,Yes,Yes,Yes,500,4.2,755235629.0,"16.019449278414754, 120.33056377062374","Nestled along De Venecia Road in Dagupan City, Kuya Max is a beloved dining spot that draws in both families and young crowds with its affordable seafood offerings. This charming restogrill serves up local favorites like adobong talaba, spicy clam soup, and various preparations of the famous bangusÃÂwhether you prefer it sinuglaw, kilawin, steamed, or fried.","https://www.google.com/maps/place/Kuya+Max+-+Dagupan/@16.019274,120.3306496,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipNVtYd60giMSTlUnzJCr_-Ek7OZEGKuZ7G9ACfE!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipNVtYd60giMSTlUnzJCr_-Ek7OZEGKuZ7G9ACfE%3Dw114-h86-k-no!7i4032!8i3024!4m7!3m6!1s0x33915d343c486fd9:0x1bb9e56ca69aace6!8m2!3d16.019274!4d120.3306496!10e5!16s%2Fg%2F1tffrg1m?entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D#",Moderate,1
39,DagupeÃÂ±a,Pangasinan,Calasio,"29C5+M84, Dagupan, Pangasinan",07:00:00 AM,10:00:00 PM,Filipino Food,Yes,Yes,No,500,3.1,755222752.0,"16.021811887104203, 120.35835438869411","DAGUPENA is a renowned restaurant in Dagupan City, offering a taste of the best flavors around Pangasinan Province. Known for its history and traditional dishes, it stands as one of the oldest restaurants in the city. Among its recommended specialties are papaitan and boneless bangus. The restaurant operates daily from 7 AM to 10 PM, inviting both locals and visitors to savor authentic Pangasinan cuisine.","https://www.google.com/maps/place/Dagupe%C3%B1a/@16.0216744,120.3584887,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipOVwPT-uOO-Eh6sw40CSNF5L0YrlDUlIkgSD_yi!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipOVwPT-uOO-Eh6sw40CSNF5L0YrlDUlIkgSD_yi%3Dw86-h114-k-no!7i1500!8i2000!4m7!3m6!1s0x3391432311a14cfd:0xd775a35d721a915d!8m2!3d16.0216263!4d120.3583222!10e5!16s%2Fg%2F11vhw5hb98?entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D#",Moderate,1
40,Silverio's Seafood Restaurant,Pangasinan,Dagupan,"Arellano St, Dagupan, Pangasinan",08:00:00 AM,12:00:00 AM,Filipino Food,Yes,Yes,Yes,500,3.9,755223752.0,"16.05860355314787, 120.34005880198102","Silverio's Seafood Restaurant is a popular dining spot in Dagupan, offering a wide range of delicious seafood dishes. The restaurant boasts a relaxing ambiance with beautiful views of the river and bridge, making it an ideal place to unwind while enjoying a meal. Customers have praised the efficient and friendly staff, as well as the clean facilities. Additionally, visitors can look forward to live music performances starting at 7 pm on most nights, adding to the vibrant atmosphere.","https://www.google.com/maps/place/Silverio's+Seafood+Restaurant/@16.058418,120.3400588,3a,75y,90t/data=!3m8!1e5!3m6!1sAF1QipM6N7SJJqe-0Z7Yz0Gzz25tW7y_0dZ9idoAanAl!2e10!3e10!6shttps:%2F%2Flh3.googleusercontent.com%2Fp%2FAF1QipM6N7SJJqe-0Z7Yz0Gzz25tW7y_0dZ9idoAanAl%3Dw152-h86-k-no!7i1920!8i1080!4m7!3m6!1s0x339167e22ac302c1:0x935a801fe8bf3cfb!8m2!3d16.058418!4d120.3400588!10e5!16s%2Fg%2F1td6prtr?entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D#",Moderate,1
41,Uson Pigar-Pigar Original,Pangasinan,Dagupan,"Purok 3 Dagupan - Binmaley Rd, Dagupan, Pangasinan",06:00:00 AM,02:00:00 AM,Filipino Food,Yes,Yes,No,200,4.3,9171632555.0,"16.019985601779805, 120.32153941540325","When you enter Uson Pigar-Pigar Original, the delightful scent of grilled meats and spices envelops you, instantly creating a warm and inviting atmosphere. This charming eatery is celebrated for its authentic Filipino pigar-pigar, making it a must-visit spot in Dagupan. Locals often recommend Uson as the go-to place for this traditional dish, with many reminiscing about their cravings upon returning home from places like Manila or Baguio.","https://www.google.com/maps/place/Uson+Pigar-Pigar+Original/@16.0198526,120.3215364,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipNjv4XUyndmDV38PjsDWSu9Z89xpS77IrnLGKcn!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipNjv4XUyndmDV38PjsDWSu9Z89xpS77IrnLGKcn%3Dw176-h86-k-no!7i4032!8i1960!4m7!3m6!1s0x33915d3e0bdf1795:0x4c1456e0a37f1e07!8m2!3d16.0197897!4d120.3215716!10e5!16s%2Fg%2F11g6b25z61?entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D#",Budget-Friendly,0
42,Cuisinero Garden Restaurant,Pangasinan,Urdaneta,"Zone 6, Bypass Road, Sitio Mitura Bridge, Urdaneta, 2428 Pangasinan",11:00:00 AM,08:30:00 PM,International Food,Yes,Yes,No,400,4.5,9088147936.0,"15.992767777298889, 120.56538590601782","Nestled in the heart of Binalonan, Pangasinan, Cuisinero Garden Restaurant is a culinary gem that celebrates global flavors. The name itself hints at its mission to bring together diverse cuisines under one roof, making it a delightful destination for food enthusiasts. Diners can embark on a gastronomic journey with an extensive menu featuring Moroccan, Mediterranean, Chinese, American, and South American dishes.","https://www.google.com/maps/place/Cuisinero+Garden+Restaurant/@15.9926005,120.5653424,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipPIT-U3HQ5CCIrHpT64Cq_2gxBEpMRr7EEy7h3F!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPIT-U3HQ5CCIrHpT64Cq_2gxBEpMRr7EEy7h3F%3Dw114-h86-k-no!7i8000!8i6000!4m7!3m6!1s0x33913ee75f203535:0x59cdb0b2dc7890dd!8m2!3d15.9924584!4d120.5653108!10e5!16s%2Fg%2F11cn951qjm?entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D#",Moderate,1
43,Eliana's Resto Grill,Pangasinan,Alaminos,"4XPV+XQG, Alaminos, Pangasinan",09:00:00 AM,12:00:00 AM,Filipino Food,Yes,Yes,Yes,400,3.7,9682067000.0,"16.137715758097706, 119.99452244835524","Eliana's Resto Grill offers a variety of traditional seafood dishes, including their popular sizzling seafood platter and mixed seafood specials. The menu also features tasty options like lemon chicken and ginulayang longganisa. Customers can enjoy their meals while surrounded by the serene ambiance of a rice paddy, with beautiful views of green fields extending towards the hills in the north. However, some improvements could be made to minimize noise from the nearby highway, such as adding bamboo buffers.","https://www.google.com/maps/place/Eliana's+Resto+Grill/@16.1374022,119.994477,3a,75y,90t/data=!3m8!1e5!3m6!1sAF1QipO4G-Ff9mKuqQeyDlffwUhOArYwxcEpyMq67FR1!2e10!3e10!6shttps:%2F%2Flh3.googleusercontent.com%2Fp%2FAF1QipO4G-Ff9mKuqQeyDlffwUhOArYwxcEpyMq67FR1%3Dw203-h360-k-no!7i1080!8i1920!4m7!3m6!1s0x3393dd9cb01a0001:0xd8b20c83b892b415!8m2!3d16.1373963!4d119.9944688!10e5!16s%2Fg%2F11q866nldn?entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D#",Moderate,1
44,Olivia's Pizzeria,Pangasinan,Dagupan,"AB Fernandez E Ave, Dagupan, 2400 Pangasinan",11:00:00 AM,10:00:00 PM,Italian Food,Yes,Yes,Yes,1000,4.5,9178940003.0,"16.02272838133557, 120.35329986552443","Olivia's Pizzeria is a popular spot for pizza lovers, offering pick-up and delivery options. Their top dishes include nachos and pepperoni pizza. While some customers have had disappointing experiences with broken glassware and cleanliness issues in the past, others have praised the excellent service and great food, particularly recommending the truffle pasta, 12"" pizza, and chicken wings meal set. The restaurant is known for its generous servings and superb service in a cozy atmosphere.",https://lh5.googleusercontent.com/p/AF1QipOG94RF8zwUC_5v8V7jRq1dx120FNmxucbXa4mC=w408-h306-k-no,Luxury,2
45,Chef Distrito,Pangasinan,Dagupan,"28MJ+G8F, Dagupan, 2400 Pangasinan",10:00:00 AM,06:30:00 PM,International Food,Yes,Yes,Yes,500,4.2,9173361333.0,"16.034010199726062, 120.33074425772175","Chef Distrito is a restaurant that offers Filipino and Asian cuisine, featuring dishes like bagnet kare-kare. They also have a selection of cakes and pastries. The venue has a simple ambiance, with some mentioning it resembling a hospital canteen. Despite this, the food is highly praised for its taste and value for money. Some recommended dishes include the bagnet kare-kare rice meal and seafood kare-kare.","https://www.google.com/maps/place/Chef+Distrito/@16.0337267,120.330962,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipPrjbQuFEtE8VaWSGKP8NSU61TVcr-uMUb1xyjc!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPrjbQuFEtE8VaWSGKP8NSU61TVcr-uMUb1xyjc%3Dw114-h86-k-no!7i3264!8i2448!4m7!3m6!1s0x33915d449555552d:0xcf62b816d486ad17!8m2!3d16.033804!4d120.3307979!10e5!16s%2Fg%2F11xvfpfc7?entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D#",Moderate,1
46,Dampa Sa Pangasinan - Seafood's Restaurant and Catering Services,Pangasinan,Urdaneta,"Purok 4 Nancayasan, MacArthur Hwy, Urdaneta, 2428 Pangasinan",07:00:00 AM,11:00:00 PM,Seafood,Yes,Yes,Yes,600,3.9,9237050633.0,"15.955039558633946, 120.57591600293088","If you ask anyone for a great seafood place in the metro, Dampa Sa Pangasinan - Seafood's Restaurant and Catering Services would likely be the top suggestion. This restaurant offers a unique experience where customers can choose their own seafood from a wet market and have it prepared to their liking. It is an ideal location for family gatherings with its spacious setting. However, there may be some waiting time during busy periods such as peak hours or special events like graduations or Valentine's Day.","https://www.google.com/maps/place/Dampa+Sa+Pangasinan+-+Seafood's+Restaurant+and+Catering+Services/@15.9547817,120.575916,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipNJmjgCZqDXn-pITAu2A8H5ifVFi8t0jFbbZ1QX!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipNJmjgCZqDXn-pITAu2A8H5ifVFi8t0jFbbZ1QX%3Dw86-h114-k-no!7i3024!8i4032!4m7!3m6!1s0x33913efd3c43ea9b:0xd5d6a868c52cd586!8m2!3d15.9547817!4d120.575916!10e5!16s%2Fg%2F1hd_8j3rw?entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D#",Moderate,1
47,Juliana's Kitchen,Pangasinan,Dagupan,"Royal Rays Food Hall, Jose De Venencia Extension, Pantal Rd, Barangay Pantal, Dagupan, 2400 Pangasinan",11:00:00 AM,09:00:00 PM,Asian Food,Yes,Yes,Yes,500,4.1,9650566988.0,"16.05324805430481, 120.33614132742566","Juliana's Kitchen is the ultimate destination for an adventure into Asian cuisine. They specialize in a diverse range of dishes from Thailand, Malaysia-Singapore, and Vietnam, making it a go-to place for all your Asian food cravings. Located in Dagupan, it offers an unrivaled selection of authentic delicacies that are hard to find elsewhere in the area.","https://www.google.com/maps/place/Juliana's+Kitchen/@16.0532303,120.3360061,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipNQjqN8M0-bzUPFlszPEw4iZDdLYwFYkO6OqkSK!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipNQjqN8M0-bzUPFlszPEw4iZDdLYwFYkO6OqkSK%3Dw86-h114-k-no!7i3000!8i4000!4m7!3m6!1s0x339167fe1038fb37:0xe14bde0e8fa30908!8m2!3d16.0529697!4d120.3362808!10e5!16s%2Fg%2F11bzvymk62?entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D#",Moderate,1
48,Rudy Jing Restaurant,Pangasinan,Binmaley,"Binmaley, Pangasinan, Binmaley, 2417 Pangasinan",06:30:00 AM,09:30:00 PM,Filipino Food,Yes,Yes,No,400,4.3,9164509794.0,"16.01545674823641, 120.26370628249325","At first, there was some apprehension due to the absence of a menu and prices; customers had to personally select their desired dishes. The restaurant offered a variety of options including stir-fry vegetables, inasal, caldereta, and their renowned huge crab priced at 500 pesos each. Despite initial concerns, the final bill came to approximately 1200 pesos with the inclusion of rice and drinks, which was deemed reasonable.","https://www.google.com/maps/place/Rudy+Jing+Restaurant/@16.0151998,120.2638074,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipOhUtNjPXo609KOMT6CmsR-yD9sjNR7gxmKebkz!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipOhUtNjPXo609KOMT6CmsR-yD9sjNR7gxmKebkz%3Dw114-h86-k-no!7i4160!8i3120!4m7!3m6!1s0x33915dcd8a610771:0x3a7e0ecb76c20b92!8m2!3d16.01528!4d120.2637399!10e5!16s%2Fg%2F11cn9g_y0x?entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D#",Moderate,1
49,Panaderia Antonio Bakery & Restaurant,Pangasinan,Dagupan,"289P+2W9, Judge Jose de Venecia Ave, Dagupan, Pangasinan",08:00:00 AM,10:00:00 PM,Filipino Food,Yes,Yes,No,400,4.2,755220007.0,"16.017790365520643, 120.33733584497854","Panaderia Antonio Bakery & Restaurant is a well-known establishment in Dagupan, offering a variety of freshly baked breads and healthy food options. It is the home of Plato Wraps and has been serving the community for over 10 years. The menu includes pizza, burgers, pasta, Kare-Kare, and more. Despite its popularity, the restaurant maintains a humble atmosphere with available parking slots. The staff is accommodating and has adapted well to changes during the Covid-19 pandemic.","https://www.google.com/maps/place/Panaderia+Antonio+Bakery+%26+Restaurant/@16.0177181,120.3372699,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipOv5TLkGxD6sE85zzrMCAjhUwMril3oHoutc3aO!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipOv5TLkGxD6sE85zzrMCAjhUwMril3oHoutc3aO%3Dw203-h270-k-no!7i1200!8i1600!4m7!3m6!1s0x33915d36aed1b26b:0xf8b38c54b3f58065!8m2!3d16.0175429!4d120.3373573!10e5!16s%2Fg%2F1tdh1d61?entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D#",Moderate,1
50,The Original Matutina's Restaurant,Pangasinan,Dagupan,"Tondaligan Rd, Bonuan, Dagupan, Pangasinan",09:00:00 AM,07:00:00 PM,Seafood,Yes,Yes,Yes,400,4.3,9487235115.0,"16.08394467724357, 120.34784371218603","The Original Matutina's Restaurant offers a warm and inviting ambiance with rustic decor and traditional Filipino touches, creating a nostalgic dining experience. The restaurant prides itself on hospitality, ensuring a memorable visit for diners. Known for its traditional Filipino cuisine, the restaurant features popular dishes using fresh produce from Pangasinan, including Bangus (milk fish), shrimps, crabs, oysters, and vegetables.","https://www.google.com/maps/place/The+Original+Matutina's+Restaurant/@16.0839069,120.3478964,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipO7sCtQb96MWCrOoANA1uMpRTldjMSbAK_XQ2sH!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipO7sCtQb96MWCrOoANA1uMpRTldjMSbAK_XQ2sH%3Dw114-h86-k-no!7i3030!8i2272!4m7!3m6!1s0x3391688748e2bbc7:0x160c1b4471cf8076!8m2!3d16.083821!4d120.347951!10e5!16s%2Fg%2F12qf9j2z_?entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D#",Moderate,1
51,Leeza's Restaurant,Pangasinan,Sison,"5GC9+F9H, MacArthur Hwy, Sison, Pangasinan",12:00:00 AM,11:59:00 PM,Filipino Food,Yes,Yes,No,200,3.9,9477227851.0,"16.171695917678715, 120.51844624807026","Leeza's Restaurant is a convenient stop located near the Pozzorubio exit at TPLEX, making it easily accessible for travelers. This 24-hour restaurant welcomes large groups without prior reservations and offers ample parking space. The menu features home-cooked local dishes, including their renowned papaitan, and also includes pasalubong items for purchase. While some find the prices slightly higher than expected, others appreciate the variety of menu options available.",https://itin-dev.wanderlogstatic.com/freeImage/zdA1hq3a5LVBHIIDRkzHdgXBxEnQpt0j,Budget-Friendly,0
52,Jech's Bakery & Restaurant,Pangasinan,Dagupan,"289Q+CXX, Judge Jose de Venecia Ave, Dagupan, Pangasinan",07:00:00 AM,09:00:00 PM,Filipino Food,Yes,Yes,No,400,4.1,755224566.0,"16.01869389059425, 120.33998498674141","Jech's Bakery & Restaurant is a popular dining spot located in Calasiao, Pangasinan, near Dagupan City. It offers a wide variety of tasty dishes and baked goods. The restaurant is well-established with clean facilities and reasonable prices. While some visitors found the noise level to be high, many praised the delicious food and generous portions.","https://www.google.com/maps/place/Jech's+Bakery+%26+Restaurant/@16.0186111,120.34,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipMU-rXRFyl--lS7t28lF9J01UKXx4mul2aC5ygR!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMU-rXRFyl--lS7t28lF9J01UKXx4mul2aC5ygR%3Dw152-h86-k-no!7i4032!8i2268!4m7!3m6!1s0x33915d345a9691eb:0x96d95ad1d81cf5f0!8m2!3d16.0186111!4d120.34!10e5!16s%2Fg%2F1tgh52fc?entry=ttu&g_ep=EgoyMDI1MDEyMi4wIKXMDSoASAFQAw%3D%3D#",Moderate,1
